Name,Score,Polarity
BZ,0.507142857,Positive
BZFD,0.551408451,Positive
BZH,0.466753927,Negative
BZUN,0.576701571,Positive
C,0.556432749,Positive
CAAP,0.534422111,Positive
CAAS,0.429310345,Negative
CAC,0.529746835,Positive
CACC,0.321717172,Negative
CACI,0.552173913,Positive
CAE,0.480687831,Negative
CAKE,0.517132867,Positive
CAL,0.513636364,Positive
CALA,0.488383838,Negative
CALX,0.517052023,Positive
CAMT,0.519565217,Positive
CAN,0.418041237,Negative
CANG,0.511445783,Positive
CANO,0.466326531,Negative
CAPL,0.495588235,Negative
CAPR,0.576666667,Positive
CAR,0.535869565,Positive
CARA,0.473076923,Negative
CARG,0.504651163,Positive
CARR,0.515,Positive
CARS,0.548989899,Positive
CASA,0.519565217,Positive
CASI,0.559090909,Positive
CASY,0.539473684,Positive
CATC,0.52150838,Positive
CATX,0.524172185,Positive
CATY,0.513636364,Positive
CB,0.426041667,Negative
CBAN,0.553409091,Positive
CBAT,0.554109589,Positive
CBAY,0.558045977,Positive
CBD,0.499710983,Negative
CBTX,0.549441341,Positive
CC,0.522340426,Positive
CCAP,0.512318841,Positive
CCEP,0.594954128,Positive
CCI,0.578571429,Positive
CCLP,0.510869565,Positive
CCO,0.546551724,Positive
CCOI,0.49962406,Negative
CCRD,0.486477987,Negative
CCRN,0.458383234,Negative
CCS,0.411904762,Negative
CCU,0.518421053,Positive
CCXI,0.550584795,Positive
CD,0.528980892,Positive
CDAY,0.567721519,Positive
CDEV,0.513945578,Positive
CDK,0.57972973,Positive
CDLX,0.596859903,Positive
CDMO,0.541719745,Positive
CDNA,0.470652174,Negative
CDNS,0.601612903,Positive
CDRE,0.52,Positive
CDRO,0.538888889,Positive
CDW,0.497715736,Negative
CDXC,0.413285024,Negative
CDXS,0.571182266,Positive
CE,0.465028902,Negative
CEAD,0.44245283,Negative
CECE,0.544472362,Positive
CECO,0.575373134,Positive
CEG,0.52745098,Positive
CELC,0.246774194,Negative
CELH,0.567647059,Positive
CEMI,0.512944162,Positive
CENN,0.441411043,Negative
CENT,0.484285714,Negative
CENX,0.455405405,Negative
CEPU,0.531188119,Positive
CEQP,0.513387978,Positive
CERE,0.455882353,Negative
CERS,0.539534884,Positive
CERT,0.562751678,Positive
CETX,0.499056604,Negative
CEVA,0.534146341,Positive
CFB,0.581192661,Positive
CFLT,0.528306878,Positive
CFMS,0.490236686,Negative
CG,0.55430622,Positive
CGAU,0.38015873,Negative
CGBD,0.552173913,Positive
CGEN,0.273188406,Negative
CGNX,0.469512195,Negative
CGRN,0.4625,Negative
CGTX,0.562162162,Positive
CHCT,0.491463415,Negative
CHD,0.507142857,Positive
CHDN,0.573529412,Positive
CHE,0.425510204,Negative
CHEF,0.497133758,Negative
CHGG,0.562087912,Positive
CHK,0.558602151,Positive
CHKP,0.491025641,Negative
CHMI,0.481521739,Negative
CHNG,0.540804598,Positive
CHRA,0.518181818,Positive
CHRD,0.546039604,Positive
CHRS,0.566230366,Positive
CHRW,0.546341463,Positive
CHTR,0.4,Negative
CHUY,0.548648649,Positive
CHWY,0.485365854,Negative
CHX,0.58989071,Positive
CI,0.584010152,Positive
CIB,0.54010989,Positive
CIDM,0.478729282,Negative
CIEN,0.490206186,Negative
CIFR,0.495303867,Negative
CIG,0.413736264,Negative
CIGI,0.563043478,Positive
CIH,0.408333333,Negative
CINF,0.39611399,Negative
CIO,0.542857143,Positive
CION,0.469905213,Negative
CIR,0.540322581,Positive
CIVB,0.5375,Positive
CIXX,0.53700565,Positive
CL,0.547058824,Positive
CLAR,0.453278689,Negative
CLB,0.479787234,Negative
CLBS,0.516666667,Positive
CLBT,0.580348259,Positive
CLDT,0.548876404,Positive
CLF,0.420949721,Negative
CLFD,0.5625,Positive
CLGN,0.53372093,Positive
CLH,0.477027027,Negative
CLIR,0.563793103,Positive
CLLS,0.520967742,Positive
CLMB,0.477225131,Negative
CLMT,0.501190476,Positive
CLNE,0.468181818,Negative
CLOV,0.541304348,Positive
CLPT,0.521428571,Positive
CLR,0.545,Positive
CLSD,0.570731707,Positive
CLSK,0.493023256,Negative
CLSN,0.439473684,Negative
CLVR,0.489779006,Negative
CLVS,0.326470588,Negative
CLVT,0.54893617,Positive
CLW,0.468181818,Negative
CLX,0.491463415,Negative
CLXT,0.558536585,Positive
CM,0.539952153,Positive
CMA,0.480769231,Negative
CMAX,0.45952381,Negative
CMBM,0.548550725,Positive
CMCSA,0.518292683,Positive
CMCT,0.536363636,Positive
CME,0.512068966,Positive
CMG,0.55797546,Positive
CMI,0.501428571,Positive
CMLS,0.466568047,Negative
CMMB,0.519565217,Positive
CMPO,0.525,Positive
CMPR,0.537640449,Positive
CMPS,0.51163522,Positive
CMRE,0.460650888,Negative
CMRX,0.513354037,Positive
CMS,0.563705584,Positive
CMTG,0.492696629,Negative
CMTL,0.473863636,Negative
CNA,0.380769231,Negative
CNCE,0.568238994,Positive
CNDT,0.494594595,Negative
CNF,0.474324324,Negative
CNFR,0.437037037,Negative
CNHI,0.492639594,Negative
CNI,0.498648649,Negative
CNMD,0.47183908,Negative
CNNE,0.444444444,Negative
CNO,0.562568306,Positive
CNOB,0.514583333,Positive
CNR,0.483333333,Negative
CNS,0.54893617,Positive
CNSL,0.507142857,Positive
CNTB,0.51875,Positive
CNTY,0.457486631,Negative
CNVY,0.476086957,Negative
CNXC,0.520748299,Positive
CNXN,0.525816993,Positive
COCO,0.497953216,Negative
CODA,0.532352941,Positive
CODI,0.512857143,Positive
CODX,0.474561404,Negative
COE,0.427777778,Negative
COF,0.475136612,Negative
COHR,0.517816092,Positive
COHU,0.460055866,Negative
COIN,0.540052356,Positive
COLB,0.536904762,Positive
COLD,0.48625731,Negative
COLL,0.487320574,Negative
COLM,0.519109948,Positive
COMM,0.521621622,Positive
CONN,0.538111888,Positive
COOK,0.467708333,Negative
COOP,0.527094972,Positive
COP,0.538198758,Positive
CORR,0.490277778,Negative
CORT,0.416497462,Negative
CORZ,0.523684211,Positive
COST,0.473529412,Negative
COTY,0.554522613,Positive
COUP,0.508490566,Positive
COUR,0.535,Positive
COWN,0.538235294,Positive
CP,0.564572864,Positive
CPAC,0.48030303,Negative
CPB,0.505491329,Positive
CPE,0.511878453,Positive
CPG,0.594,Positive
CPIX,0.498101266,Negative
CPK,0.512433862,Positive
CPLP,0.518217054,Positive
CPNG,0.547540984,Positive
CPRI,0.553743316,Positive
CPRT,0.371590909,Negative
CPRX,0.540909091,Positive
CPSH,0.572764228,Positive
CPSI,0.552173913,Positive
CPSS,0.443103448,Negative
CPTN,0.520967742,Positive
CR,0.560798122,Positive
CRAI,0.522928177,Positive
CRBG,0.556735751,Positive
CRCT,0.534615385,Positive
CRESY,0.474324324,Negative
CREX,0.584911243,Positive
CRGE,0.531578947,Positive
CRGO,0.507142857,Positive
CRGY,0.549408284,Positive
CRI,0.492105263,Negative
CRIS,0.520748299,Positive
CRK,0.523333333,Positive
CRKN,0.534848485,Positive
CRL,0.528453039,Positive
CRMD,0.492105263,Negative
CRNC,0.524251497,Positive
CRNT,0.491025641,Negative
CRON,0.515284974,Positive
CROX,0.507819905,Positive
CRS,0.520967742,Positive
CRSR,0.474561404,Negative
CRTO,0.549441341,Positive
CRUS,0.562820513,Positive
CRVL,0.547849462,Positive
CRVS,0.455369128,Negative
CRWS,0.453278689,Negative
CRXT,0.50915493,Positive
CSAN,0.518571429,Positive
CSCO,0.530952381,Positive
CSGP,0.494086022,Negative
CSGS,0.602606635,Positive
CSII,0.477777778,Negative
CSIQ,0.484319527,Negative
CSL,0.568032787,Positive
CSR,0.444392523,Negative
CSSE,0.472695035,Negative
CSTE,0.42540107,Negative
CSTL,0.44020979,Negative
CSTM,0.476530612,Negative
CSTR,0.502459016,Positive
CSV,0.516666667,Positive
CSWC,0.503503185,Positive
CSX,0.564772727,Positive
CTG,0.487209302,Negative
CTIB,0.483333333,Negative
CTIC,0.540995261,Positive
CTKB,0.513945578,Positive
CTLP,0.548058252,Positive
CTMX,0.491176471,Negative
CTRA,0.542045455,Positive
CTRE,0.436516854,Negative
CTRN,0.482402235,Negative
CTSH,0.52027027,Positive
CTSO,0.495303867,Negative
CTT,0.553409091,Positive
CTV,0.535350318,Positive
CTVA,0.537700535,Positive
CUBI,0.497222222,Negative
CUE,0.411658031,Negative
CURI,0.543939394,Positive
CURV,0.515591398,Positive
CUTR,0.488323353,Negative
CUZ,0.534353741,Positive
CVA,0.388888889,Negative
CVAC,0.296067416,Negative
CVBF,0.538297872,Positive
CVE,0.477160494,Negative
CVEO,0.48030303,Negative
CVET,0.541625616,Positive
CVGI,0.496938776,Negative
CVGW,0.452690583,Negative
CVI,0.452919708,Negative
CVLG,0.429661017,Negative
CVLT,0.516141732,Positive
CVRX,0.443548387,Negative
CVS,0.575581395,Positive
CVT,0.521345029,Positive
CVV,0.475136612,Negative
CVX,0.493137255,Negative
CW,0.571875,Positive
CWBR,0.572580645,Positive
CWCO,0.531578947,Positive
CWH,0.451204819,Negative
CWK,0.525,Positive
CWST,0.494086022,Negative
CWT,0.459210526,Negative
CX,0.484254144,Negative
CXDO,0.529069767,Positive
CXP,0.563793103,Positive
CXW,0.482335329,Negative
CYAD,0.386526946,Negative
CYBE,0.551960784,Positive
CYBR,0.530733945,Positive
CYCC,0.452919708,Negative
CYD,0.318711656,Negative
CYH,0.506481481,Positive
CYN,0.555063291,Positive
CYRN,0.410416667,Negative
CYRX,0.51440678,Positive
CYTK,0.531944444,Positive
CYXT,0.510759494,Positive
CZR,0.484437086,Negative
D,0.555882353,Positive
DAC,0.52012987,Positive
DADA,0.569354839,Positive
DAIO,0.511271676,Positive
DAKT,0.45,Negative
DAL,0.553954802,Positive
DALN,0.487037037,Negative
DAN,0.506321839,Positive
DAO,0.529581152,Positive
DAR,0.487349398,Negative
DARE,0.510335196,Positive
DASH,0.577835052,Positive
DAVA,0.486879433,Negative
DAVE,0.453827751,Negative
DB,0.44787234,Negative
DBD,0.55797546,Positive
DBGI,0.460810811,Negative
DBVT,0.525,Positive
DBX,0.583333333,Positive
DCBO,0.526923077,Positive
DCFC,0.421084337,Negative
DCGO,0.487349398,Negative
DCI,0.512275449,Positive
DCO,0.525621891,Positive
DCOM,0.511878453,Positive
DCP,0.567948718,Positive
DCPH,0.481395349,Negative
DCT,0.5,Positive
DCTH,0.532352941,Positive
DD,0.518571429,Positive
DDD,0.452955665,Negative
DDI,0.533870968,Positive
DDOG,0.519565217,Positive
DE,0.498684211,Negative
DEA,0.513095238,Positive
DECK,0.505721393,Positive
DEI,0.455031447,Negative
DEN,0.559090909,Positive
DENN,0.589759036,Positive
DERM,0.555172414,Positive
DFIN,0.566666667,Positive
DFS,0.460055866,Negative
DGICA,0.432122905,Negative
DGII,0.47629108,Negative
DGLY,0.562790698,Positive
DH,0.548617512,Positive
DHC,0.492105263,Negative
DHT,0.415432099,Negative
DHX,0.572619048,Positive
DIBS,0.494221106,Negative
DIN,0.582642487,Positive
DINO,0.480065359,Negative
DIOD,0.478571429,Negative
DIS,0.542655367,Positive
DISH,0.502564103,Positive
DK,0.474242424,Negative
DKL,0.578571429,Positive
DKNG,0.513636364,Positive
DLB,0.515979381,Positive
DLHC,0.505,Positive
DLNG,0.526106195,Positive
DLO,0.551554404,Positive
DLPN,0.547297297,Positive
DLTH,0.498167539,Negative
DLTR,0.563043478,Positive
DLX,0.545705521,Positive
DM,0.516359447,Positive
DMAC,0.490277778,Negative
DMRC,0.442682927,Negative
DMS,0.487037037,Negative
DMTK,0.529396985,Positive
DNA,0.563294798,Positive
DNAY,0.479787234,Negative
DNMR,0.520503597,Positive
DNOW,0.493137255,Negative
DNUT,0.542473118,Positive
DO,0.474175824,Negative
DOC,0.541304348,Positive
DOOO,0.525675676,Positive
DOOR,0.542045455,Positive
DOV,0.467204301,Negative
DOW,0.47,Negative
DOX,0.540625,Positive
DOYU,0.539423077,Positive
DPRO,0.526623377,Positive
DQ,0.497826087,Negative
DRCT,0.535542169,Positive
DRD,0.453921569,Negative
DRE,0.509060403,Positive
DRH,0.52431694,Positive
DRI,0.511878453,Positive
DRIO,0.57,Positive
DRRX,0.467142857,Negative
DRTT,0.545454545,Positive
DRVN,0.571787709,Positive
DS,0.538888889,Positive
DSEY,0.476923077,Negative
DSGR,0.57513369,Positive
DSGX,0.514197531,Positive
DSKE,0.471192053,Negative
DSP,0.542473118,Positive
DSX,0.45,Negative
DT,0.575531915,Positive
DTC,0.515,Positive
DTE,0.555325444,Positive
DTEA,0.34,Negative
DTM,0.567647059,Positive
DTSS,0.523469388,Positive
DTST,0.500574713,Positive
DUOL,0.530208333,Positive
DUOT,0.52755102,Positive
DV,0.567948718,Positive
